tag,tag_cn
artificial vagina,飞机杯
artist name,作者署名
artist self-insert,以作者本人为蓝本
asa no ha (pattern),麻叶纹
ascot,阿斯科特领巾
ashford academy uniform,阿什福特学院制服
asian,亚洲人
asphyxiation,窒息
ass,屁股
ass-to-ass,屁股贴屁股
ass cutout,露出屁股的服饰
ass focus,屁股为焦点
ass grab,抓着屁股
ass shake,晃屁股
ass support,托着屁股
ass visible through thighs,正面可见的屁股
assault rifle,突击步枪
assisted exposure,剥开衣服
asymmetrical bangs,不对称的刘海
asymmetrical clothes,不对称的服饰
asymmetrical docking,胸部互碰|胸顶着胸
asymmetrical gloves,不对称的手套
asymmetrical hair,不对称的发型
asymmetrical horns,不对称的角
asymmetrical legwear,不对称的裤子
asymmetrical sleeves,不对称的袖子
asymmetrical wings,不对称的翅膀
athletic leotard,体操服
attack,攻击
audible music,有音乐
audible speech,有人声
audience,观众
aura,灵气
autobot,汽车人
autumn,秋天
autumn leaves,秋叶
axe,斧头
baby,宝宝
babydoll,性感女性睡衣
back,后背
back-print panties,背面印花的内裤
back-seamed legwear,袜缝
back-to-back,背靠背
back bow,(服饰)打在背后的结
back cutout,露出部分后背的衣服
back tattoo,背部纹身
backboob,从背后可看到的胸部
background text,背景文字
backless dress,露背连衣裙
backless outfit,露背装
backlighting,逆光
backpack,背包
backpack removed,卸下的包
backwards hat,反扣的帽子
bad anatomy,错误的人体结构
bad end,坏结局
bad feet,脚的画法错误
bad hands,手的画法错误
bad perspective,错误的(画法)透视
bad proportions,人体比例不协调
badge,徽章
bag,包
bag charm,背包挂件
bagged fish,金鱼水袋
bags under eyes,眼袋
baguette,法国面包
balancing,(保持)平衡的姿势
bald,秃头
ball,球
ball gag,口球
ballerina,芭蕾舞女演员
ballet slippers,芭蕾舞鞋
balloon,气球
ballpoint pen (medium),圆珠笔
bamboo,竹子
bamboo broom,竹扫帚
bamboo forest,竹林
bamboo steamer,蒸笼
banana,香蕉
band uniform,乐队制服
bandage on face,贴有绷带的脸
bandage over one eye,缠着绷带的单眼
bandaged arm,缠着绷带的手臂
bandaged hands,缠着绷带的手
bandaged head,绑着绷带的头
bandaged leg,绑着绷带的腿
bandages,绷带
bandaid,创可贴
bandaid on arm,手臂上贴着创可贴
bandaid on face,脸上贴着创可贴
bandaid on forehead,额头贴着创可贴
bandaid on knee,膝盖贴着创可贴
bandaid on leg,腿上贴着创可贴
bandaid on nose,鼻梁上贴着创可贴
bandaid on pussy,阴部贴着创可贴
bandaids on nipples,乳头贴着创可贴
bandana,头巾
bandeau,抹胸比基尼
bandolier,子弹带
bangle,手镯
bangs,刘海
bangs pinned back,掀起的刘海
baozi,包子
bar,酒吧
bar censor,黑条打码
bara,大叔
barcode,条形码
barcode tattoo,条形码纹身
bare arms,裸臂
bare back,裸背
bare hips,裸臀
bare legs,裸腿
bare shoulders,露肩
bare tree,枯木
barefoot,裸足
barefoot sandals,裸足凉鞋
barrel,桶子
bartender,酒保
baseball,棒球
baseball bat,棒球棍
baseball cap,棒球帽
baseball mitt,棒球手套
baseball uniform,棒球服
basket,篮子
basketball,篮球
bass clef,低音符
bass guitar,贝斯
bat,蝙蝠
bat ears,蝙蝠耳朵
bat hair ornament,蝙蝠发饰
bat print,蝙蝠印花
bat wings,蝙蝠翅膀
bath,洗澡
bath stool,浴凳
bath yukata,浴衣
bathing,入浴
bathroom,浴室
bathtub,浴缸
baton,指挥棒
battle,战斗|比试|战争|游戏
battle axe,战斧
battle rifle,战术步枪
battleship,战舰
bayonet,刺刀
bc freedom military uniform,BC自由学园制服
bdsm,SM
beach,海滩
beach chair,沙滩椅
beach towel,沙滩巾
beach umbrella,沙滩伞
beachball,沙滩球
bead bracelet,珠子手链
bead necklace,珠子项链
beads,珠子
beam,光束
beam rifle,激光步枪
beamed eighth notes,八分音符
beamed sixteenth notes,十六分音符
beanie,无檐帽
beans,豆
bear,熊
bear ears,熊耳朵
bear hair ornament,熊印花头饰
bear panties,熊印花内裤
bear print,熊印花
beard,胡须
beckoning,招手
bed,床
bed sheet,床单
bedroom,卧室
beer,啤酒
beer can,听装啤酒
beer mug,啤酒杯
behind-the-head headphones,从后脑戴上的耳机
beige background,米色背景
beige sweater,米色毛衣
bell,钟|铃
bell choker,铃铛项圈
belly,腹部
belly chain,脐链
belly grab,捏着肚子
belt,皮带|腰带
belt boots,皮带靴
belt buckle,皮带扣
belt collar,皮项圈
belt pouch,腰包
beltbra,皮带束胸
beltskirt,皮带裙
bench,长凳
bendy straw,弯折的吸管
bent over,弯腰
beret,贝雷帽
bespectacled,戴眼镜的
bestiality,兽交|兽奸|异种奸
between breasts,乳沟里
between fingers,(突出)指间
between legs,(强调)两腿之间
between thighs,(强调)大腿之间
bib,围兜
bicycle,自行车
bicycle basket,自行车篮
big belly,大肚子
big hair,头发很多的
bike shorts,紧身裤
biker clothes,自行车运动服
bikesuit,骑行套装
bikini,比基尼
bikini armor,比基尼盔甲
bikini aside,从三点剥开的比基尼
bikini bottom,比基尼泳裤
bikini lift,往上剥开的比基尼
bikini pull,扯着比基尼
bikini skirt,比基尼裙
bikini tan,泳装晒痕
bikini top,只穿着比基尼上衣
bikini top removed,脱下了比基尼上衣
bikini under clothes,比基尼当内衣
binoculars,双筒望远镜
bird,鸟|拟鸟化
bird on hand,手上的鸟
bird on head,头上的鸟
bird on shoulder,肩上的鸟
bird tail,鸟尾巴
biribiri,(哔哩哔哩)的电流
birthday,生日
birthday cake,生日蛋糕
birthmark,胎记
bisexual (female),双性恋(女性)
bishamonten's pagoda,毘沙门天宝塔
bishamonten's spear,毘沙门天之矛
bishop (chess),主教(国际象棋)
bishounen,美少年
bit gag,勒住嘴
bite mark,咬痕
biting,咬
biwa lute,琵琶
black-framed eyewear,黑框眼镜
black apron,黑色围裙
black armor,黑色盔甲
black background,黑色背景
black belt,黑色腰带
black bikini,黑色比基尼
black blindfold,黑色眼罩
black blouse,黑色上衣
black bodysuit,黑色紧身衣
black border,黑色边框
black bow,黑蝴蝶结
black bra,黑色内衣
black camisole,黑色吊带背心
black cape,黑色斗篷
black capelet,黑色披肩
black cardigan,黑色开口衬衫
black cat,黑猫
black choker,黑色项链
black coat,黑色外套
black coat (kingdom hearts),黑色外套(王国之心)
black collar,黑色项圈
black dress,黑色连衣裙
black eyes,黑色眼睛
black feathers,黑色羽毛
black flower,黑色的花
black footwear,黑色的鞋
black gloves,黑色手套
black hair,黑发
black hairband,黑色发带
black hakama,黑色的袴
black headband,黑色头巾
black headwear,黑色头饰
black hoodie,黑色连帽衫
black horns,黑色的角
black jacket,黑色夹克
black kimono,黑色和服
black legwear,黑丝袜
black leotard,黑色连身衣
black nails,黑色指甲
black neckwear,黑色领子
black panties,黑色内裤
black pants,黑色长裤
black ribbon,黑色丝带
black rose,黑玫瑰
black sailor collar,黑色水手领
black scarf,黑色围巾
black sclera,黑色巩膜
black scrunchie,黑色发束
black serafuku,黑色水手服
black shirt,黑色衬衫
black shorts,黑色短裤
black skin,黑色皮肤
black skirt,黑色短裙
black sleeves,黑色袖子
black suit,黑色西装
black sweater,黑色毛衣
black swimsuit,黑色泳衣
black tail,黑色尾巴
black tank top,黑色无袖紧身背心
black theme,黑色主题
black umbrella,黑色的伞
black vest,黑色背心
black wings,黑色翅膀
blade,剑
blank eyes,无神的双眼
blank speech bubble,空话泡泡
blank stare,无主的眼神
blanket,毯子
blazer,西装夹克
bleeding,出血
blindfold,遮眼|眼罩
blinds,百叶窗
blinking,眨眼睛
blonde hair,金发
blonde pubic hair,金色阴毛
blood,血
blood from mouth,嘴角流血
blood on face,脸上有血
blood splatter,溅血
blood stain,血迹
bloody clothes,衣服沾血
bloody tears,血泪
bloody weapon,沾血的武器
bloom,盛开
bloomers,灯笼裤
blouse,罩衫
blowing,吹
blue-framed eyewear,蓝框眼镜
blue armor,蓝色盔甲
blue background,蓝色背景
blue belt,蓝色饰带
blue bikini,蓝色比基尼
blue blouse,蓝色上衣
blue bodysuit,蓝色紧身衣
blue bow,蓝色蝴蝶结
blue bra,蓝色胸罩
blue buruma,蓝色短裤
blue butterfly,蓝色的蝴蝶
blue cape,蓝色斗篷
blue capelet,蓝色披肩
blue cardigan,蓝色开襟衫
blue choker,蓝色项圈
blue coat,蓝色外套
blue dress,蓝色洋装
blue eyes,蓝眼睛
blue fire,蓝色的火焰
blue flower,蓝色的花
blue footwear,蓝色鞋类
blue gloves,蓝色手套
blue hair,蓝色头发
blue hairband,蓝色发带
blue hakama,蓝色的袴
blue headband,蓝色头巾
blue headwear,蓝色头饰
blue hoodie,蓝色连帽衫
blue horns,蓝色的角
blue jacket,蓝色夹克
blue kimono,蓝色和服
blue legwear,蓝色紧身裤
blue leotard,蓝色连身衣
blue nails,蓝色指甲
blue neckwear,蓝色的领饰
blue panties,蓝色内裤
blue pants,蓝色长裤
blue ribbon,蓝色丝带
blue rose,蓝玫瑰
blue sailor collar,蓝色水手领
blue sarong,蓝色沙滩裙
blue scarf,蓝色围巾
blue scrunchie,蓝色发束
blue serafuku,蓝色水手服
blue shirt,蓝色衬衫
blue shorts,蓝色短裤
blue skin,蓝色皮肤
blue skirt,蓝色短裙
blue sky,蓝天
blue sleeves,蓝色袖子
blue sweater,蓝色毛衣
blue swimsuit,蓝色泳衣
blue theme,蓝色
blue vest,蓝色背心
blue wings,蓝色翅膀
blueberry,蓝莓
blunt bangs,直刘海
blur censor,模糊打码
blurry,模糊的
blurry background,模糊的背景
blurry foreground,前景模糊
blush,脸红
blush stickers,表情贴纸
boar,猪
board game,棋盘游戏
boat,船
bob cut,波波头
bobby socks,美式短袜
body blush,身体泛红
body hair,体毛
body writing,在身上写字
bodypaint,人体彩绘
