tag,tag_cn
yuri,百合
z-ring,Z手环
zabuton,褥垫
zero suit,Zero装束
zettai ryouiki,绝对领域
zipper,拉链
zipper pull tab,拉链的拉片
zombie,僵尸
zombie pose,僵尸姿势
zoom layer,人物立绘缩放(剪影)图层
zouri,日式草鞋
zzz,zzz
| |,| |
|d,|d
|| ||,|| ||
2k-tan,2K碳/2k
abe nana,安部菜菜/安部菜々
admiral graf spee (azur lane),斯佩伯爵海军上将（碧蓝航线）/アドミラル・グラーフ・シュペー(アズールレーン)
aegis (persona),艾吉斯（女神异闻录）/アイギス
aerith gainsborough,艾丽丝·盖恩斯巴勒/エアリス・ゲインズブール|エアリス
afuro terumi,亚风炉照美/アフロディ|亜風炉|亜風炉照美|照美監督
agrias oaks,阿格莉亚丝/アグリアス|アグリアス・オークス
ahri,阿狸/Ahri|아리|阿狸|アーリ
aida mana,相田爱/相田マナ
aino megumi,爱乃惠/愛乃めぐみ
aino minako,爱野美奈子/愛野美奈子
aircraft carrier oni,空母棲鬼/空母棲鬼
aisaka taiga,逢坂大河/逢坂大河
aisha landar,艾尔莎·兰达/アイシャ
akagi (azur lane),赤城(碧蓝航线)/赤城(碧蓝航线)|赤城(アズールレーン)
akagi miria,赤城米莉亚/赤城みりあ
akali,阿卡丽/Akali|아칼리|アカリ
akashi (azur lane),明石|明石(碧蓝航线)/明石|明石(アズールレーン)
akatsuki kirika,晓切歌/暁切歌
akaza akari,赤座灯里/赤座あかり
akemi homura,晓美焰/暁美ほむら|ほむまど|まどほむ|ほむさや|さやほむ|メガほむ|ほむほむ|ほむ杏|杏ほむ|ほむあん|あんほむ|マミほむ|ほむマミ|変態ほむらさん
aki (girls und panzer),小秋(少女与战车)/アキ|アキ(GuP)|継続高校|ミカアキ|楽しい継続一家
aki minoriko,秋穰子/秋穣子
aki shizuha,秋静叶/秋静葉
akita neru,亚北音留/亞北ネル
akiyama mio,秋山澪/秋山澪
akiyama yukari,秋山优花里/秋山優花里|あんこうチーム|みほゆか|ケイゆか|まほゆか|ゆかエリ|忠犬ユカ公|秋山殿|オッドボール三等軍曹|グデエル
akizuki ritsuko,秋月律子/秋月律子|あきづきりつこ
akizuki ryou,秋月凉/秋月涼
akuma homura,恶魔焰/悪魔ほむら
alastor (shakugan no shana),天壤劫火·亚拉斯特尔/
alena (dq4),安莉娜公主(勇者斗恶龙4)/アリーナ|アリーナ姫
alice cartelet,爱丽丝·卡塔雷特/アリス・カータレット
alice margatroid,爱丽丝·玛格特罗依德/アリス・マーガトロイド|アリス·マーガトロイド|マリアリ|アリマリ|爱丽丝·玛格特罗依德
alice margatroid (pc-98),爱丽丝·玛格特罗依德(PC-98)/ロリス|ロリアリ|旧作アリス|アリロリ
alisa (girls und panzer),亚理纱（少女与战车）/アリサ|アリサ(GuP)|サンダース大学付属高校|ナオアリ
alisa ilinichina amiella,亚莉莎·伊莉妮提娜·阿米耶拉/アリサ・イリーニチナ・アミエーラ
alpaca suri (kemono friends),苏利羊驼（动物朋友）/アルパカ・スリ(けものフレンズ)
alphonse elric,阿尔冯斯·艾尔利克/アルフォンス・エルリック
altera (fate),阿提拉(Fate)/アルテラ|アルテラ(Fate)
amagi yukiko,天城雪子/天城雪子
amami haruka,天海春香/天海春香
amamiya ren,雨宫莲/雨宮蓮|主人公(ペルソナ5)|主明
amanogawa kirara,天之川绮罗/天ノ川きらら
amasawa yuuko,天泽勇子/天沢勇子|イサコ
amaterasu,天照大神/アマテラス(大神)
amazon (dragon's crown),亚马逊女战士（龙之皇冠）/アマゾン|アマゾン(ドラゴンズクラウン)
america (hetalia),阿尔弗雷德·F·琼斯/アルフレッド・F・ジョーンズ|アルフレッド|味覚音痴コンビ|エミリー・ジョーンズ|エミリー
amiya (arknights),阿米娅（明日方舟）/アーミヤ|アーミヤ(アークナイツ)|阿米娅
anastasia (idolmaster),安娜斯塔西娅（偶像大师）/アナスタシア|アナスタシア(シンデレラガールズ)
anchovy (girls und panzer),安丘比（少女与战车）/アンチョビ|アンチョビ(GuP)|安斎千代美|アンツィオ高校|ドゥーチェ|隊長組|ペパチョビ|まほチョビ
andou (girls und panzer),安藤（少女与战车）/安藤|安藤(GuP)|BC自由学園|安押|チャイナ安藤
android 18,人造人18号/人造人間18号|18号
android 21,人造人21号/人造人間21号|21号|Android21|android21
anegasaki nene,姐崎宁宁/姉ヶ崎寧々
ange (princess principal),安洁（公主准则）/アンジェ(プリンセス・プリンシパル)|アンジェ
angel (kof),安琪儿（拳皇）/アンヘル
angela balzac,安吉拉·巴尔扎克（乐园追放）/アンジェラ|アンジェラ・バルザック
anila (granblue fantasy),阿妮拉（碧蓝幻想）/アニラ
anjou naruko,安城鸣子/安城鳴子|あなる
anna (frozen),安娜（冰雪奇缘）/anna|アナ|エルアナ|アナエル
annie leonhardt,亚妮·雷恩哈特/アニ・レオンハート
anya alstreim,阿尼亚·阿尔斯托莱姆/アーニャ・アールストレイム
aoba moca,青叶摩卡/青葉モカ|蘭モカ|モカ蘭|モカちゃ
aoki reika,青木丽华/青木れいか
aono miki,苍乃美希/蒼乃美希
aozaki aoko,苍崎青子/蒼崎青子
aqua (konosuba),阿库娅/アクア|アクア(このすば)
ara haan,艾拉·韩/Ara|アラ|アラ・ハーン|Ara・Haan
aragaki ayase,新垣绫濑/新垣あやせ
aragaki shinjirou,荒垣真次郎/荒垣真次郎
araragi karen,阿良良木火怜/阿良々木火憐
araragi koyomi,阿良良木历/阿良々木暦
araragi tsukihi,阿良良木月火/阿良々木月火
arcueid brunestud,爱尔奎特·布伦史塔德/アルクェイド|アルクェイド・ブリュンスタッド
arle nadja,阿露露（噗哟噗哟）/アルル・ナジャ
armin arlert,阿尔敏·阿诺德/アルミン・アルレルト|アルミン|エレアル
arthur pendragon (fate),旧剑(fate)/旧セイバー|アーサー・ペンドラゴン
artoria pendragon (all),阿尔托莉雅·潘德拉贡/アルトリア・ペンドラゴン
artoria pendragon (swimsuit ruler) (fate),泳装狮子王(fate)/水着獅子王
asahina mikuru,朝比奈实玖琉/朝比奈みくる
asahina mirai,朝日奈未来/朝日奈みらい
asakura ryouko,朝仓凉子/朝倉涼子
asbel lhant,阿斯贝尔·兰特/アスベル・ラント|アスベル
ashido mina,芦户三奈/芦戸三奈
assam (girls und panzer),阿萨姆（少女与战车）/アッサム|アッサム(GuP)|聖グロリアーナ女学院|ダッサム|ローサム|ノーブルシスターズ
assassin (fate/zero),暗杀者(fate/zero)/
asseylum vers allusia,艾瑟依拉姆·薇瑟·艾莉欧斯亚/アセイラム・ヴァース・アリューシア
astolfo (fate),阿斯托尔福(fate)/アストルフォ(Fate)|アストルフォ|黒のライダー|Astolfo|阿斯托爾福|阿斯托尔福|阿福
asui tsuyu,蛙吹梅雨/蛙吹梅雨|ケロイン|梅雨ちゃん
asuna (sao),结城明日奈/アスナ(SAO)|アスナ|結城明日奈
asuna (sao-alo),亚丝娜(ALO)/
atago (azur lane),爱宕(碧蓝航线)/爱宕(碧蓝航线)|愛宕(アズールレーン)
atago (midsummer march) (azur lane),真夏的进行曲/真夏の行進曲
atalanta (fate),阿塔兰塔(fate)/アタランテ|アタランテ(Fate)|赤のアーチャー
au ra,敖龙族/アウラ|aura
ayanami (azur lane),绫波（碧蓝航线）/綾波(アズールレーン)|綾波改(アズールレーン)|綾波
ayanami rei,绫波丽/綾波レイ
ayane (doa),绫音（死或生）/綾音|あやね
ayase eli,绚濑绘里/絢瀬絵里|エリーチカ|エリチカ|髪下ろしエリチ
ayatsuji tsukasa,绚辻词/絢辻詞
azura (fire emblem),阿库娅（火焰之纹章）/アクア(FEif)|アクア(FE)
baiken,梅喧/梅喧|バイケン
bakugou katsuki,爆豪胜己/爆豪勝己|ばくごう
bardiche,雷光战斧/
bayonetta (character),贝优妮塔（猎天使魔女）/
bazett fraga mcremitz,巴泽特·弗拉加·马克雷密斯/バゼット・フラガ・マクレミッツ|バゼット
bb (fate) (all),BB(fate)/
bb (swimsuit mooncancer) (fate),泳装BB/BBペレ|BB(水着)|BBホテップ|水着BB
beatrice,碧昂特莉丝(Umineko)/
beatrix (granblue fantasy),贝阿朵丽丝（碧蓝幻想）/ベアトリクス(グラブル)|ベアトリクス
bel (pokemon),白露（口袋妖怪）/
belarus (hetalia),娜塔莎·阿尔洛夫斯卡娅/ベラルーシ|ナターリア・アルロフスカヤ
belfast (azur lane),贝尔法斯特（碧蓝航线）/ベルファスト|贝尔法斯特|ベルファスト(アズールレーン)|ベルちゃん(アズールレーン)
belldandy,贝露丹蒂/ベルダンディー
bernadetta von varley,贝尔娜提塔/ベルナデッタ=フォン=ヴァーリ
berserker (fate/zero),狂兰|狂阶兰斯洛特/バーサーカー(Fate/Zero)
black hanekawa,黑羽川/ブラック羽川
black heart,圣黑之心/ブラックハート
black rock shooter (character),黑岩射手/ブラック★ロックシューター|B★RS|BRS
blake belladonna,布蕾克·贝拉多娜/Blake|blake|ブレイク・ベラドンナ|BlakeBelladonna|Belladonna|belladonna
blanc,布兰（海王星）/ブラン|ブラン(ネプテューヌ)
boa hancock,海贼女帝波雅·汉库克/ボア・ハンコック|ハンコック
boko (girls und panzer),/ボコられグマ|ボコられグマのボコ
bottle miku,/ボトルミク|瓶MIKU
bowser,/クッパ
bowsette,/クッパ姫|bowsette
bremerton (azur lane),/ブレマートン|ブレマートン(アズールレーン)|布莱默顿
bremerton (scorching-hot training) (azur lane),/熱々トレーニング
bridget (guilty gear),/ブリジット
brown bear (kemono friends),/ヒグマ(けものフレンズ)|ヒグマ|ヒグママ
bruno buccellati,/ブローノ・ブチャラティ|ブチャラティ
brynhildr (fate),/ランサー(フラグメンツ)|ブリュンヒルデ|ブリュンヒルデ(fate)
bulbasaur,/フシギダネ
bulma,/ブルマ(ドラゴンボール)
buront,/ブロントさん
byleth (fire emblem),/ベレト|ベレス|ベレト=アイスナー|ベレス=アイスナー|ベレト先生
byleth (fire emblem) (female),/ベレス|ベレト♀|ベレス(FE風花雪月)|ベレス=アイスナー
byleth (fire emblem) (male),/ベレト(FE風花雪月)|ベレト
c.c.,C.C./C.C.
caesar anthonio zeppeli,/シーザー・アントニオ・ツェペリ|シーザー・A・ツェペリ
cagliostro (granblue fantasy),/カリオストロ|カリオストロ(グラブル)|カリおっさん
camilla (fire emblem),/カミラ(FEif)|Camilla|カミラ
cammy white,/キャミィ
caren hortensia,/カレン・オルテンシア
caro ru lushe,/キャロ・ル・ルシエ
carpaccio (girls und panzer),/カルパッチョ|カルパッチョ(GuP)|アンツィオ高校|たかひな
cecilia alcott,/セシリア・オルコット
celes chere,/セリス・シェール|セリス
cerberus (helltaker),/ケルベロス|ケルベロス(Helltaker)|Cerberus
ch'en (arknights),/陈|チェン|チェン(アークナイツ)|Chen
charizard,/リザードン
charlotte (madoka magica),/シャルロッテ
charlotte dunois,/シャルロット・デュノア
charmander,/ヒトカゲ
chen,橙/橙
cheren (pokemon),/チェレン
cheria barnes,/シェリア|シェリア・バーンズ
chi-chi (dragon ball),/チチ|チチ(ドラゴンボール)|チチの乳
chi-class torpedo cruiser,雷巡チ級/雷巡チ級|チ級|チーちゃん
chibi miku,/ちびミク|ちびミクさん
chibi usa,/ちびうさ
chikorita,/チコリータ
chitanda eru,千反田爱瑠/千反田える
chiyoda momo,千代田桃/千代田桃
chloe von einzbern,/クロエ・フォン・アインツベルン|クロエ|クロ
chocobo,/チョコボ
chocola (nekopara),/ショコラ
christa renz,/クリスタ・レンズ|クリユミ|ユミクリ
chrom (fire emblem),/クロム(FE覚醒)|クロム|Chrom
chun-li,/春麗|チュン・リー|春丽|チュンリー
cirno,/チルノ
clarisse (granblue fantasy),/クラリス|クラリス(グラブル)
claude von riegan,/クロード・フォン・リーガン|クロード=フォン=リーガン
cleveland (azur lane),/クリーブランド|クリーブランド(アズールレーン)
cloud strife,/クラウド・ストライフ|クラウド
clownpiece,/クラウンピース
commander (azur lane),指挥官（碧蓝航线）/指揮官(アズールレーン)
common raccoon (kemono friends),/アライグマ(けものフレンズ)|アライさん|ばすてきコンビ|アラフェネ
corrin (fire emblem),/カムイ(FEif)|カムイ♀|カムイ♂
corrin (fire emblem) (female),神威（女）/カムイ♀
corrin (fire emblem) (male),神威（男）/カムイ♂
cosmog,/コスモッグ|ほしぐもちゃん
cure beauty,/キュアビューティ
cure black,/キュアブラック
cure blossom,/キュアブロッサム
cure happy,/キュアハッピー
cure heart,/キュアハート
cure lovely,/キュアラブリー
cure march,/キュアマーチ
cure marine,/キュアマリン
cure melody,/キュアメロディ
cure moonlight,/キュアムーンライト
cure peace,/キュアピース
cure peach,/キュアピーチ
cure pine,/キュアパイン
cure princess,/キュアプリンセス
cure rhythm,/キュアリズム
cure sunny,/キュアサニー
cure sunshine,/キュアサンシャイン
cure sword,/キュアソード
cure white,/キュアホワイト
d.va (overwatch),D.Va（守望先锋）/D.Va|D.va|디바|dva|송하나
daidouji tomoyo,大道寺知世/大道寺知世
daiyousei,大妖精/大妖精|大ちゃん|Die妖精|Dieちゃん
dante (devil may cry),/ダンテ|Dante|dante
danua,/ダヌア
darjeeling (girls und panzer),/ダージリン|ダージリン(GuP)|聖グロリアーナ女学院|ダー様|田尻凛|ダーペコ|ダッサム|ダーみほ|ケイダジ|西ダジ|ダーまほ|ダーカチュ|ダーマリ|ノーブルシスターズ|隊長組
dark magician girl,/ブラックマジシャンガール|ブラック・マジシャン・ガール|ブラマジガール|BMG
dark sakura,黑樱/黒桜
darkness (konosuba),/ダクネス|ダスティネス・フォード・ララティーナ|lalatina dustiness ford
dead master,/デッドマスター
dekomori sanae,凸守早苗/凸守早苗
diana cavendish,/ダイアナ・キャベンディッシュ|ダイアナ
dido (azur lane),/ダイドー(アズールレーン)|ダイドー
diego brando,/ディエゴ・ブランドー|ディエゴブランドー
dimitri alexandre blaiddyd,/ディミトリ・アレクサンドル・ブレーダッド|ディミトリ=アレクサンドル=ブレーダッド
dio brando,/ディオ・ブランドー|DIO
dizzy (guilty gear),/ディズィー
djeeta (granblue fantasy),/ジータ|ジータ(グラブル)
doctor (arknights),/博士|業狱|ドクター|ドクター(アークナイツ)
doraemon (character),/ドラえもん(キャラクター)|ドラえもん
doremy sweet,/ドレミー・スイート
doujima nanako,堂岛菜菜子/堂島菜々子
eas,/イース様
edelgard von hresvelg,/エーデルガルト=フォン=フレスベルグ|エーデルガルト
edward elric,/エドワード・エルリック
eevee,/イーブイ
eila ilmatar juutilainen,/エイラ・イルマタル・ユーティライネン
eldridge (azur lane),埃尔德里奇（碧蓝航线）/埃尔德里奇(碧蓝航线)|エルドリッジ(アズールレーン)
elesis (elsword),/エリシス(エルソード)|Elesis
elin,艾琳族/エリーン|엘린|艾琳
elise (fire emblem),伊莉丝（火焰之纹章）/エリーゼ(FEif)
elizabeth bathory (brave) (fate),/ブレイブエリザ|エリザベート・バートリー(ブレイブ)
elizabeth bathory (fate),/悪魔ランサー|赤ランサー|エリザベート・バートリー|エリザベート・バートリー(Fate)
ellen baker,/エレン・ベーカー|エレン先生|えっちなエレン先生|エレン・ベーカー先生
elphelt valentine,/エルフェルト|エルフェルト=ヴァレンタイン
elsa (frozen),/エルサ|elsa|アナエル|エルアナ
emilia (re:zero),/エミリア|エミリア(リゼロ)
emiya kiritsugu,卫宫切嗣/衛宮切嗣|切嗣
emiya shirou,卫宫士郎/衛宮士郎
emperor penguin (kemono friends),/コウテイペンギン|コウテイペンギン(けものフレンズ)
endou mamoru,圆堂守/円堂守|円堂
ene (kagerou project),榎本贵音（阳炎计划）/エネ
enma ai,阎魔爱/閻魔あい
enoshima junko,江之岛盾子/江ノ島盾子
enterprise (azur lane),企业（碧蓝航线）/企业(碧蓝航线)|エンタープライズ(アズールレーン)|エンタープライズ|エンプラ
eren yeager,/エレン・イェーガー|エレン|エレアル
erica hartmann,/エーリカ・ハルトマン|ハルトマン姉妹
error musume,报错娘/エラー娘
erwin (girls und panzer),/エルヴィン|エルヴィン(GuP)|松本里子|カバさんチーム|グデエル
erza scarlet,/エルザ|エルザ・スカーレット|erza
espeon,/エーフィ
estellise sidos heurassein,/エステリーゼ・シデス・ヒュラッセイン|エステル
etna,/エトナ
euphemia li britannia,/ユーフェミア・リ・ブリタニア
eurasian eagle owl (kemono friends),/ワシミミズク(けものフレンズ)|ミミちゃん助手|としょかんコンビ|探偵アフリカオオコノハズク
eureka,/エウレカ
eva 01,初号机/EVA初号機|エヴァ初号機|エヴァンゲリオン初号機|初号機
eva 02,二号机/EVA弐号機|EVA2号機|エヴァ弐号機|エヴァ2号機|エヴァンゲリオン弐号機|エヴァンゲリオン2号機|弐号機|2号機
eva beatrice,/エヴァ・ベアトリーチェ
ex-keine,/きもけーね|キモけーね
exusiai (arknights),/EXUSIAI|Exusiai|エクシア(アークナイツ)|エクシア|能天使
ezo red fox (kemono friends),/キタキツネ|キタキツネ(けものフレンズ)|ゆきやまコンビ
failure penguin,失败的企鹅/失敗ペンギン|妖怪資材溶かし|開発失敗
faris scherwiz,/ファリス・シェルヴィッツ
fate testarossa,/フェイト・テスタロッサ|フェイト・T・ハラオウン|フェイト・テスタロッサ・ハラオウン
feldt grace,/フェルト・グレイス
felicia (vampire),/フェリシア|フェリシア(ヴァンパイア)
female protagonist (pokemon go),/女トレーナー(ポケモンGO)|女トレーナー
female saniwa (touken ranbu),/女審神者
fennec (kemono friends),/フェネック(けものフレンズ)|ばすてきコンビ|アラフェネ
ferry (granblue fantasy),/フェリ(グラブル)|フェリ
filia (skullgirls),/filia|フィリア
flandre scarlet,/フランドール・スカーレット|フランドール|フランドール・スカーレッ|FlandreScarlet|レミフラ|芙兰朵露|フランドールスカーレット|病みフラン|FrandleScarlet
flareon,/ブースター
flonne,/フロン
formidable (azur lane),/フォーミダブル|フォーミダブル(アズールレーン)|可畏|可畏(碧蓝航线)
francesca lucchini,/フランチェスカ・ルッキーニ
frankenstein's monster (fate),/フランケンシュタイン|フランケンシュタイン(Fate)|黒のバーサーカー|フラン
frederica bernkastel,/ベルンカステル|フレデリカ・ベルンカステル
frisk (undertale),/frisk
fubuki (one-punch man),/地獄のフブキ|フブキ
fujibayashi kyou,藤林杏/藤林杏
fujimaru ritsuka (female),咕哒子/ぐだ子|リヨぐだ子|藤丸立香|ぐだ♀|以ぐだ
fujimaru ritsuka (male),咕哒男/ぐだ男|藤丸立香
fujimura taiga,藤村大河/藤村大河
fujisaki chihiro,不二咲千寻/不二咲千尋
fujiwara chika,藤原千花/藤原千花|藤原書記
fujiwara no mokou,藤原妹红/藤原妹紅|藤原妹红|妹紅|mokou
fukuji mihoko,福路美穗子/福路美穂子
fukuzawa yumi,福泽祐巳/福沢祐巳
funami yui,船见结衣/船見結衣
furude rika,/古手梨花|후루데리카
furudo erika,/古戸ヱリカ
furukawa nagisa,古河渚/古河渚
furutani himawari,古谷向日葵/古谷向日葵
futaba anzu,双叶杏/双葉杏|双葉杏(物理)
futami ami,双海亚美/双海亜美|ふたみあみ
futami mami,双海真美/双海真美
futatsuiwa mamizou,/二ッ岩マミゾウ
fuura kafuka,风浦可符香/風浦可符香
galko,/ギャル子|ギャル子ちゃん
gamagoori ira,蟇郡苛/蟇郡苛
ganaha hibiki,我那霸响/我那覇響|がなはひびき
gardevoir,/サーナイト
garnet til alexandros xvii,/ガーネット・ティル・アレクサンドロス17世
garry (ib),/ギャリー
gasai yuno,我妻由乃/我妻由乃
gengar,/ゲンガー
gertrud barkhorn,/ゲルトルート・バルクホルン|トゥルーデ
ginga nakajima,/ギンガ・ナカジマ
giorno giovanna,/ジョルノ・ジョバアーナ|ジョルノ・ジョバァーナ
godzilla,/ゴジラ
gokotai,五虎退/五虎退(刀剣乱舞)|五虎退
gokou ruri,五更瑠璃/五更瑠璃|黒猫|黒猫(俺妹)|黒猫(俺の妹)
golden snub-nosed monkey (kemono friends),/キンシコウ|キンシコウ(けものフレンズ)
graf zeppelin (azur lane),/グラーフ・ツェッペリン(アズールレーン)|グラーフ|グラーフ・ツェッペリン|にくすべ
gran (granblue fantasy),/グラン|グラン(グラブル)
grey wolf (kemono friends),/タイリクオオカミ(けものフレンズ)|タイリクオオカミ
guido mista,/グイード・ミスタ
gumi,/GUMI|メグッポイド
gwendolyn (odin sphere),/グウェンドリン
gyro zeppeli,/ジャイロ・ツェペリ|ユーリウス・カイザー・ツェペリ
hachikuji mayoi,/八九寺真宵
hacka doll 3,/ハッカドール3号
hagiwara yukiho,/萩原雪歩
hakurei reimu,/博麗霊夢|霊夢|青霊夢|博麗靈夢
hakuryuu (inazuma eleven),/白竜
hammann (azur lane),/哈曼(碧蓝航线)|ハムマン(アズールレーン)|ハマン(アズールレーン)|ハンマン(アズールレーン)|ハムマン|ハムマン改(アズールレーン)
han juri,/ハン・ジュリ|한주리|Juri
hanamura yousuke,/花村陽介
hanasaki tsubomi,/花咲つぼみ
hanekawa tsubasa,羽川翼/羽川翼
hanna-justina marseille,/ハンナ・ユスティーナ・マルセイユ|Hanna-Justina|ハンナ・ユスティーナ・ヴァーリア・ロザリンド・ジークリンデ|ハンナ・ユスティーナ
hanyuu,/羽入
haramura nodoka,/原村和
harime nui,/針目縫
haruno haruka,/春野はるか
haruno sakura,/春野サクラ
hasegawa kobato,/羽瀬川小鳩
hassan of serenity (fate),/静謐のハサン|アサシン(フラグメンツ)|assassin (fate/prototype fragments)
hata no kokoro,/秦こころ|はたのこころ
hatoba tsugu,/鳩羽つぐ
hatsune miku,初音未来/初音ミク|初音未来|miku monday|mikumonday|ミクの日
hatsune miku (append),/初音ミクappend|初音ミクアペンド
hayami kanade,速水奏/速水奏
hayasaka mirei,早坂美玲/早坂美玲
hecatia lapislazuli,/ヘカーティア・ラピスラズリ|変なTシャツヤロー|ヘカーティア
heiwajima shizuo,/平和島静雄
heles,/ヘルエス|ヘルエス(グラブル)
heshikiri hasebe,/へし切長谷部(刀剣乱舞)|へし切長谷部
hestia (danmachi),/ヘスティア|ヘスティア(ダンまち)|Hestia
hex maniac (pokemon),/オカルトマニア
hibari (senran kagura),云雀（闪乱神乐）/雲雀|雲雀(閃乱カグラ)
hidaka ai,日高爱/日高愛
hieda no akyuu,/稗田阿求
higashi setsuna,/東せつな
higuchi kaede,/樋口楓|でろあーと
hiiragi kagami,/柊かがみ
hiiragi tsukasa,/柊つかさ|つかさ
hijiri byakuren,/聖白蓮
hikawa hina,/氷川日菜
hikawa sayo,/氷川紗夜
hilda valentine goneril,/ヒルダ=ヴァレンティン=ゴネリル
himejima akeno,姬岛朱乃/姫島朱乃
himekaidou hatate,/姫海棠はたて
himekawa yuki,/姫川友紀
hina ichigo,/雛苺
hinanawi tenshi,/比那名居天子|天子|てんこ
hinata (angel beats!),/日向
hinata hajime,/日向創
hinatsuru ai,/雛鶴あい|ひなつるあい
hino akane (idolmaster),/日野茜
hino akane (smile precure!),/日野あかね
hino rei,/火野レイ
hiradaira chisaki,/比良平ちさき
hirasawa ui,/平沢憂|けいおん!!2年生トリオ
hirasawa yui,/平沢唯
hiro (darling in the franxx),/CODE:016|ヒロ(ダリフラ)
hishikawa rikka,菱川六花/菱川六花
holo,/ホロ
honda mio,/本田未央
honebami toushirou,/骨喰藤四郎|鯰骨
hong meiling,/紅美鈴|くれないみすず|めいりん|龍美鈴|美鈴
honma meiko,/本間芽衣子|めんま
honolulu (azur lane),/ホノルル(アズールレーン)|ホノルル
horikawa kunihiro,/堀川国広|兼堀
horikawa raiko,/堀川雷鼓|らいこ
hoshiguma (arknights),/星熊|ホシグマ|ホシグマ(アークナイツ)
hoshiguma yuugi,星熊勇仪/星熊勇儀
hoshii miki,星井美希/星井美希
hoshimiya ichigo,/星宮いちご
hoshimiya kate,/星宮ケイト
hoshino fumina,/ホシノ・フミナ
hoshino ruri,/ホシノ・ルリ
hoshizora miyuki,/星空みゆき
hoshizora rin,/星空凛|金曜凛ちゃんりんりんりん
hotarumaru,/蛍丸
hoto cocoa,/保登心愛|ココア
houjou hibiki,/北条響
houjou karen,/北条加蓮
houjou satoko,/北条沙都子
houjuu nue,/封獣ぬえ
hourai doll,/蓬莱人形
houraisan kaguya,/蓬莱山輝夜|蓬莱山辉夜
houshou marine,/宝鐘マリン|マリンのお宝|沈没後悔日記|MarinesBooty
huang baoling,/ホァン・パオリン|黄宝鈴
huang lingyin,凰铃音/凰鈴音
humboldt penguin (kemono friends),/フンボルトペンギン|フンボルトペンギン(けものフレンズ)|フルル|とうぶどうぶつこうえんコンビ
hummy (suite precure),/ハミィ
hyur,/ヒューラン
hyuuga hinata,/日向ヒナタ|ナルヒナ|うずまきヒナタ
i-class destroyer,/駆逐イ級|イ級
ia (vocaloid),/イア|IA|IA -ARIA ON THE PLANETES-
ib (ib),/イヴ(Ib)
ibaraki kasen,/茨木華扇|茨華仙|扇ぱい|奸佞邪智の鬼
ibuki (street fighter),/いぶき|息吹
ibuki fuuko,/伊吹風子
ibuki suika,/伊吹萃香|萃香
ichigo (darling in the franxx),/イチゴ(ダリフラ)|イチゴ
ichigo hitofuri,/一期一振|つるいち|いちみか|一兄|いち兄
ichihara nina,/市原仁奈
ichinose kotomi,/一ノ瀬ことみ
ichinose shiki,一之濑志希/一ノ瀬志希
igarashi futaba (shiromanta),/五十嵐双葉
igarashi kyou (eroe),/五十嵐京
ikamusume,/イカ娘|イカちゃん
ikari shinji,/碇シンジ
ike (fire emblem),/アイク
illustrious (azur lane),/イラストリアス|イラストリアス(アズールレーン)
illyasviel von einzbern,/イリヤスフィール・フォン・アインツベルン|イリヤ|プリズマイリヤ|イリヤスフィール(プリズマ☆イリヤ)
imaizumi kagerou,/今泉影狼|いまいずみかげろう|乳狼|影狼
inaba tewi,/因幡てゐ|てゐ
inami mahiru,/伊波まひる
inkling,/インクリング|イカちゃん|マイイカ|4号|3号|イカガール
inoue orihime,/井上織姫
inubashiri momiji,/犬走椛|ショタ椛|椛
inugami korone,/戌神ころね|できたてころね|ぶっころね|HeyGuysXPotato|ころねすきー
inumuta houka,/犬牟田宝火
inuyama aoi,/犬山あおい
iori junpei,/伊織順平
iori rinko,/イオリ・リン子
iris (pokemon),/アイリス|アイリス(トレーナー)|アイリス(ポケモン)|アイリス(アニポケ)
irisviel von einzbern,/アイリスフィール・フォン・アインツベルン|アイリスフィール
iroha (samurai spirits),/いろは|いろは(侍魂)
iskandar (fate),/ライダー(Fate/Zero)|イスカンダル|イスカンダル(Fate)
isobe noriko,/磯辺典子|アヒルさんチーム|キャプリリ
isolated island oni,/離島棲鬼
isshiki akane,/一色あかね
isuzu hana,/五十鈴華|あんこうチーム
itoshiki nozomu,/糸色望
itsumi erika,/逸見エリカ|黒森峰女学園|エリまほ|エリみほ|ゆかエリ|エリカチュ|エリあり|エリカは不憫|ハンバーグ殿|ついにやって来たわに!
ivan karelin,/イワン・カレリン
izayoi aki,/十六夜アキ
izayoi liko,/十六夜リコ|リコ(プリキュア)|izayoi riko
izayoi sakuya,/十六夜咲夜|咲夜|BURU夜さん|十六夜893|かっこいい咲夜さん
izumi-no-kami kanesada,/和泉守兼定|兼堀
izumi konata,/泉こなた|こなた
izumi sagiri,/和泉紗霧|紗霧
jack the ripper (fate/apocrypha),/ジャック・ザ・リッパー(Fate)|ジャック・ザ・リッパー
jaguar (kemono friends),/ジャガー(けものフレンズ)
jakuzure nonon,/蛇崩乃音
japan (hetalia),/本田菊
japanese crested ibis (kemono friends),/トキ|トキ(けものフレンズ)
javelin (azur lane),/标枪(碧蓝航线)|ジャベリン(アズールレーン)|ジャベリン改(アズールレーン)
jean pierre polnareff,/ジャン=ピエール・ポルナレフ
jeanne d'arc (alter) (fate),/ジャンヌ・オルタ|ジャンヌオルタ|ジャンヌ・ダルク〔オルタ〕
jeanne d'arc (fate),/ジャンヌ・ダルク|ルーラー|ジャンヌ・ダルク(Fate)|ジャンヌ
